time  час
information  інформація
people  люди
thing  річ
community  спільнота
man  чоловік
woman  жінка
way  шлях
life  життя
child  дитина
world  світ
school  школа
state  держава
family  родина
student  студент
group  група
country  країна
problem  проблема
hand  рука
part  частина
place  місце
case  справа
week  тиждень
company  компанія
system  система
program  прогама
question  запитання
work  робота
government  уряд
number  число
night  ніч
point  точка
home  дім
water  вода
room  кімната
mother  матір
area  площа
money  гроші
story  історія
fact  факт
month  місяць
lot  багато
right  правильно
study  вивчення
book  книга
eye  око
job  робота
word  слово
business  бізнес
issue  випуск
side  сторона
kind  доброзичливий
head  голова
house  дім
service  сервіс
friend  друг
father  батько
power  сила
hour  година
game  гра
line  лінія
end  кінець
member  учасник
law  закон
car  машина
city  місто
day  день
name  ім’я
president  президент
team  команда
minute  хвилина
idea  ідея
kid  дитина
body  тіло
year  рік
back  назад
parent  батьки
face  обличчя
others  інші
level  рівень
office  офіс
door  двері
health  здоров’я
person  особистість
art  мистецтво
war  війна
history  історія
party  вечірка
result  результат
change  зміна
morning  ранок
reason  причина
research  дослідження
girl  дівчина
guy  хлопець
moment  момент
air  повітря
teacher  вчитель
force  сила
education  освіта
